metric,technique,F_med,R2_med,p_med,stars_med,F_main,R2_main,p_main,stars_main,prop_p_lt_0.05,df
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
Gower (prop→z),Rarefied,2.0741882004767467,0.4087724220165633,0.041,*,1.6586579058413684,0.1422683399098902,0.057,.,0.5527638190954773,2
