transformation,n_species,pc1_var,pc2_var,pc3_var,cumul_3pc,total_variance
raw,38,54.259,25.044,11.506,90.80900000000001,1146.5079281183932
sqrt,38,25.365,13.880999999999998,11.359,50.605,30.7461325498369
hellinger,38,22.745,14.435999999999998,8.190999999999999,45.37199999999999,0.2918880083901857
log1p,38,18.668000000000003,12.943,8.632,40.243,14.051088096705337
wisconsin,38,14.221,10.808,7.817,32.846000000000004,0.04668514497890219
