iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
48,Bootstrap,Jaccard (incidence),2,1.7846999226894533,0.22925738184046487,0.048,15,3
48,Bootstrap,Gower (sqrt→z),2,7.66966740384075,0.5610719834840907,0.001,15,3
48,Bootstrap,Gower (prop→z),2,2.091154989754901,0.258449503489025,0.009,15,3
49,Bootstrap,Jaccard (incidence),2,2.08197942779675,0.20650502638961768,0.028,19,3
49,Bootstrap,Gower (sqrt→z),2,8.070224354637562,0.5021849214139098,0.001,19,3
49,Bootstrap,Gower (prop→z),2,1.7842852790166126,0.18236235229600187,0.041,19,3
50,Bootstrap,Jaccard (incidence),2,1.3466436317944965,0.15222085209295774,0.186,18,3
50,Bootstrap,Gower (sqrt→z),2,8.151513091458211,0.5208131024665522,0.001,18,3
50,Bootstrap,Gower (prop→z),2,1.5120304922939725,0.16777911410606994,0.102,18,3
51,Bootstrap,Jaccard (incidence),2,2.488096193163249,0.21658037601077498,0.005,21,3
51,Bootstrap,Gower (sqrt→z),2,11.09358126280069,0.552095772162739,0.001,21,3
51,Bootstrap,Gower (prop→z),2,2.476895248079134,0.2158157929073794,0.003,21,3
52,Bootstrap,Jaccard (incidence),2,2.2931608759712776,0.2124642541997611,0.019,20,3
52,Bootstrap,Gower (sqrt→z),2,8.552815607995983,0.5015485890779005,0.001,20,3
52,Bootstrap,Gower (prop→z),2,1.8276151197380046,0.1769639068215362,0.038,20,3
53,Bootstrap,Jaccard (incidence),2,1.725400519298146,0.197744563757508,0.092,17,3
53,Bootstrap,Gower (sqrt→z),2,6.509103406069396,0.48183089657489586,0.001,17,3
53,Bootstrap,Gower (prop→z),2,1.399690722606479,0.1666359832558389,0.148,17,3
54,Bootstrap,Jaccard (incidence),2,2.4246600023351927,0.2716809381758818,0.015,16,3
54,Bootstrap,Gower (sqrt→z),2,7.892921090667797,0.5483891032922757,0.001,16,3
54,Bootstrap,Gower (prop→z),2,2.0722345125558217,0.2417379633653982,0.018,16,3
55,Bootstrap,Jaccard (incidence),2,1.3301219860862328,0.1506346105050562,0.186,18,3
55,Bootstrap,Gower (sqrt→z),2,6.755356134743888,0.4738819620422798,0.001,18,3
55,Bootstrap,Gower (prop→z),2,1.454702428501823,0.1624512305257254,0.107,18,3
56,Bootstrap,Jaccard (incidence),2,1.7604931033312574,0.2009582203382837,0.067,17,3
56,Bootstrap,Gower (sqrt→z),2,8.072114342762722,0.5355661560940032,0.001,17,3
56,Bootstrap,Gower (prop→z),2,1.688963765225308,0.19438034394674594,0.071,17,3
57,Bootstrap,Jaccard (incidence),2,2.228673511535974,0.217884900620052,0.007,19,3
57,Bootstrap,Gower (sqrt→z),2,9.084861125093223,0.5317491935447998,0.001,19,3
57,Bootstrap,Gower (prop→z),2,2.438013057755775,0.23357060814790362,0.002,19,3
58,Bootstrap,Jaccard (incidence),2,2.093717740956367,0.2182384136671141,0.025,18,3
58,Bootstrap,Gower (sqrt→z),2,9.266206372778337,0.5526716161518194,0.001,18,3
58,Bootstrap,Gower (prop→z),2,2.2275421209142436,0.22899331539516254,0.004,18,3
59,Bootstrap,Jaccard (incidence),2,1.6012592502725793,0.16677596224965174,0.076,19,3
59,Bootstrap,Gower (sqrt→z),2,8.538010738481026,0.5162658843009811,0.001,19,3
59,Bootstrap,Gower (prop→z),2,1.5020612794962318,0.15807741450135818,0.098,19,3
60,Bootstrap,Jaccard (incidence),2,1.5151923917400267,0.16807099903140044,0.127,18,3
60,Bootstrap,Gower (sqrt→z),2,7.540745029016777,0.5013544883893108,0.001,18,3
60,Bootstrap,Gower (prop→z),2,1.5222372997350384,0.16872060101763695,0.079,18,3
61,Bootstrap,Jaccard (incidence),2,2.8187744950493587,0.2605447129283656,0.002,19,3
61,Bootstrap,Gower (sqrt→z),2,9.808035631230961,0.5507646005621223,0.001,19,3
61,Bootstrap,Gower (prop→z),2,2.445472017391848,0.2341179042287515,0.002,19,3
62,Bootstrap,Jaccard (incidence),2,1.3414562963660692,0.1608179973262548,0.193,17,3
62,Bootstrap,Gower (sqrt→z),2,6.857115821951657,0.49484437526956376,0.001,17,3
62,Bootstrap,Gower (prop→z),2,1.2922127951032945,0.155834495210539,0.193,17,3
63,Bootstrap,Jaccard (incidence),2,1.7621193104973918,0.18050581584293396,0.068,19,3
63,Bootstrap,Gower (sqrt→z),2,8.10952378783958,0.5033993490211751,0.001,19,3
63,Bootstrap,Gower (prop→z),2,1.5590587304153205,0.1630975156010557,0.103,19,3
64,Bootstrap,Jaccard (incidence),2,2.3752083506241726,0.2533499269342679,0.01,17,3
64,Bootstrap,Gower (sqrt→z),2,9.24333987020155,0.5690541442870675,0.001,17,3
64,Bootstrap,Gower (prop→z),2,2.52326413722997,0.26495790738026415,0.004,17,3
65,Bootstrap,Jaccard (incidence),2,2.181664575530034,0.21427386056041445,0.02,19,3
65,Bootstrap,Gower (sqrt→z),2,8.316856982398523,0.5097094980589805,0.001,19,3
65,Bootstrap,Gower (prop→z),2,1.7745606917429082,0.18154889490245574,0.061,19,3
66,Bootstrap,Jaccard (incidence),2,2.809891039186389,0.30181782228806314,0.009,16,3
66,Bootstrap,Gower (sqrt→z),2,7.926965081688849,0.5494547908589588,0.001,16,3
66,Bootstrap,Gower (prop→z),2,2.6083067383571295,0.28636571135367705,0.002,16,3
67,Bootstrap,Jaccard (incidence),2,1.1365114896584414,0.1592530876332738,0.326,15,3
67,Bootstrap,Gower (sqrt→z),2,3.937934435128458,0.3962528089548175,0.002,15,3
67,Bootstrap,Gower (prop→z),2,0.9938372764271816,0.14210185870021927,0.47,15,3
68,Bootstrap,Jaccard (incidence),2,1.9448531713425028,0.1862020594677757,0.032,20,3
68,Bootstrap,Gower (sqrt→z),2,8.195137195214008,0.49086971250306977,0.001,20,3
68,Bootstrap,Gower (prop→z),2,1.4688105668962195,0.14734060367981613,0.1,20,3
69,Bootstrap,Jaccard (incidence),2,2.055483107501919,0.21511032821440274,0.019,18,3
69,Bootstrap,Gower (sqrt→z),2,8.988562151297032,0.5451392346293803,0.001,18,3
69,Bootstrap,Gower (prop→z),2,2.1358365500020327,0.2216555396014456,0.011,18,3
70,Bootstrap,Jaccard (incidence),2,2.028685185021675,0.21290294994849915,0.033,18,3
70,Bootstrap,Gower (sqrt→z),2,8.795082937465386,0.5397384579886904,0.001,18,3
70,Bootstrap,Gower (prop→z),2,2.453366712739543,0.24648611706423135,0.003,18,3
71,Bootstrap,Jaccard (incidence),2,2.250937024037204,0.2728098660163831,0.02,15,3
71,Bootstrap,Gower (sqrt→z),2,8.254365233508505,0.5790763108906822,0.001,15,3
71,Bootstrap,Gower (prop→z),2,2.129619836462285,0.2619581086572701,0.014,15,3
72,Bootstrap,Jaccard (incidence),2,1.8891198361388974,0.21252045995134886,0.048,17,3
72,Bootstrap,Gower (sqrt→z),2,7.6369800630870746,0.5217592720746225,0.001,17,3
72,Bootstrap,Gower (prop→z),2,1.4678572256158953,0.17334458842498177,0.115,17,3
73,Bootstrap,Jaccard (incidence),2,1.6637110961467536,0.20379348026316363,0.11,16,3
73,Bootstrap,Gower (sqrt→z),2,6.677279842340058,0.5067267237419681,0.001,16,3
73,Bootstrap,Gower (prop→z),2,1.5313101119337535,0.19066753625393876,0.085,16,3
74,Bootstrap,Jaccard (incidence),2,1.4234158140407083,0.16898320651202622,0.165,17,3
74,Bootstrap,Gower (sqrt→z),2,6.250732890570083,0.47172733328723526,0.001,17,3
74,Bootstrap,Gower (prop→z),2,1.2043107390300027,0.14678999581290703,0.257,17,3
75,Bootstrap,Jaccard (incidence),2,2.4125884290919695,0.27069447313610207,0.012,16,3
