metric,technique,F_med,R2_med,p_med,prop_p_lt_0.05
Gower (prop→z),N-sensitivity (across N),1.8149322879748624,0.4458044478955837,0.123,0.2562814070351759
Gower (sqrt→z),N-sensitivity (across N),4.202102875696443,0.653206307570952,0.03633333333333333,0.49748743718592964
Jaccard (incidence),N-sensitivity (across N),2.0149800738774224,0.461578081680749,0.17733333333333334,0.17839195979899497
