iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
21,Rarefied,Gower (sqrt→z),2,5.734168671828476,0.6565214031558245,0.003,9,3
21,Rarefied,Gower (prop→z),2,1.8286337001900694,0.37870623736028863,0.047,9,3
22,Rarefied,Jaccard (incidence),2,3.4804580421519287,0.537069759500548,0.023,9,3
22,Rarefied,Gower (sqrt→z),2,4.858030943826292,0.6182249699134912,0.004,9,3
22,Rarefied,Gower (prop→z),2,2.351807684843471,0.43944174068584,0.008,9,3
23,Rarefied,Jaccard (incidence),2,1.7590827824737179,0.3696264307382707,0.132,9,3
23,Rarefied,Gower (sqrt→z),2,4.040654394676698,0.5739032436717473,0.018,9,3
23,Rarefied,Gower (prop→z),2,1.8903828406864316,0.3865510947239237,0.079,9,3
24,Rarefied,Jaccard (incidence),2,3.0653747030863125,0.5053891726634009,0.008,9,3
24,Rarefied,Gower (sqrt→z),2,5.964344531940429,0.6653408412281743,0.005,9,3
24,Rarefied,Gower (prop→z),2,3.157501528198316,0.5127894022824873,0.009,9,3
25,Rarefied,Jaccard (incidence),2,1.9240599764983644,0.3907466573684216,0.029,9,3
25,Rarefied,Gower (sqrt→z),2,5.42975890342155,0.6441179357119773,0.006,9,3
25,Rarefied,Gower (prop→z),2,2.0035705616582984,0.40042816164348627,0.027,9,3
26,Rarefied,Jaccard (incidence),2,0.9133331988592535,0.23339009290736917,0.604,9,3
26,Rarefied,Gower (sqrt→z),2,3.359710659760442,0.5282804265008805,0.009,9,3
26,Rarefied,Gower (prop→z),2,1.2573204742422182,0.29533141370242155,0.245,9,3
27,Rarefied,Jaccard (incidence),2,1.5535389484090447,0.34117177123341264,0.136,9,3
27,Rarefied,Gower (sqrt→z),2,4.972435968881183,0.6237034688381442,0.011,9,3
27,Rarefied,Gower (prop→z),2,1.719508278547866,0.3643405577576267,0.076,9,3
28,Rarefied,Jaccard (incidence),2,2.2116974064448427,0.4243717994275403,0.04,9,3
28,Rarefied,Gower (sqrt→z),2,4.739645747426076,0.6123853600149993,0.003,9,3
28,Rarefied,Gower (prop→z),2,1.5429740074024012,0.3396396292138701,0.111,9,3
29,Rarefied,Jaccard (incidence),2,1.4962279374323872,0.3327740404297257,0.181,9,3
29,Rarefied,Gower (sqrt→z),2,5.242968890201546,0.636053460839078,0.006,9,3
29,Rarefied,Gower (prop→z),2,1.6324182579142092,0.3523900837592375,0.104,9,3
30,Rarefied,Jaccard (incidence),2,3.502941691563143,0.5386703214804812,0.003,9,3
30,Rarefied,Gower (sqrt→z),2,6.274367292366111,0.676527799101794,0.005,9,3
30,Rarefied,Gower (prop→z),2,3.123430093026771,0.5100785091975927,0.007,9,3
31,Rarefied,Jaccard (incidence),2,1.7046278565683508,0.362330009628379,0.147,9,3
31,Rarefied,Gower (sqrt→z),2,4.3005040812305815,0.5890694715570495,0.007,9,3
31,Rarefied,Gower (prop→z),2,1.7847620051055493,0.3730095672890586,0.057,9,3
32,Rarefied,Jaccard (incidence),2,3.5445873822104,0.5416059371207044,0.014,9,3
32,Rarefied,Gower (sqrt→z),2,6.748594710777194,0.6922633375369004,0.001,9,3
32,Rarefied,Gower (prop→z),2,2.61331375646558,0.4655563308670371,0.004,9,3
33,Rarefied,Jaccard (incidence),2,1.7678912235946955,0.3707910144522582,0.123,9,3
33,Rarefied,Gower (sqrt→z),2,5.550374515166064,0.6491381757981705,0.017,9,3
33,Rarefied,Gower (prop→z),2,2.2591487797168743,0.4295654818570269,0.019,9,3
34,Rarefied,Jaccard (incidence),2,3.618277755491646,0.5467098676070689,0.008,9,3
34,Rarefied,Gower (sqrt→z),2,5.612850602805765,0.6516832651175087,0.006,9,3
34,Rarefied,Gower (prop→z),2,1.8751636556236995,0.38463604261994816,0.041,9,3
35,Rarefied,Jaccard (incidence),2,1.5689141341917767,0.34338884209941756,0.159,9,3
35,Rarefied,Gower (sqrt→z),2,5.730764776128103,0.6563874898791592,0.008,9,3
35,Rarefied,Gower (prop→z),2,1.7632963900133123,0.37018405860912307,0.047,9,3
36,Rarefied,Jaccard (incidence),2,0.9729411400202073,0.24489190897382848,0.427,9,3
36,Rarefied,Gower (sqrt→z),2,3.8467897552800197,0.5618384517084816,0.024,9,3
36,Rarefied,Gower (prop→z),2,0.9282998782679465,0.2363108487219793,0.586,9,3
37,Rarefied,Jaccard (incidence),2,1.7388089464171586,0.3669295314663001,0.115,9,3
37,Rarefied,Gower (sqrt→z),2,6.11151479205002,0.6707462953780683,0.004,9,3
37,Rarefied,Gower (prop→z),2,2.147400743902817,0.4171815739130958,0.019,9,3
38,Rarefied,Jaccard (incidence),2,2.2744466743341074,0.4312199581809695,0.017,9,3
38,Rarefied,Gower (sqrt→z),2,4.8723936066733895,0.6189214932727811,0.005,9,3
38,Rarefied,Gower (prop→z),2,2.0083411257943284,0.4009992680911493,0.009,9,3
39,Rarefied,Jaccard (incidence),2,2.6432346650461405,0.46838999650646795,0.009,9,3
39,Rarefied,Gower (sqrt→z),2,6.598842725833324,0.6874623237730405,0.002,9,3
39,Rarefied,Gower (prop→z),2,2.141927093465631,0.41656115587239567,0.023,9,3
40,Rarefied,Jaccard (incidence),2,2.3219191808627753,0.43629358168613747,0.079,9,3
40,Rarefied,Gower (sqrt→z),2,5.764931295119693,0.657726923464831,0.018,9,3
40,Rarefied,Gower (prop→z),2,2.4605428259542506,0.45060407076365366,0.035,9,3
41,Rarefied,Jaccard (incidence),2,1.1406276046931636,0.2754721538832249,0.373,9,3
41,Rarefied,Gower (sqrt→z),2,4.194761776232918,0.5830299746810018,0.011,9,3
41,Rarefied,Gower (prop→z),2,1.269052851441224,0.2972680113371739,0.272,9,3
42,Rarefied,Jaccard (incidence),2,1.9217418350471633,0.39045969891444904,0.069,9,3
42,Rarefied,Gower (sqrt→z),2,5.359679995530581,0.6411345886919212,0.008,9,3
42,Rarefied,Gower (prop→z),2,1.6686715083857513,0.35741891572121215,0.078,9,3
43,Rarefied,Jaccard (incidence),2,2.2422568907620435,0.4277273963268322,0.1,9,3
43,Rarefied,Gower (sqrt→z),2,4.725334819226365,0.6116673166664863,0.018,9,3
43,Rarefied,Gower (prop→z),2,2.2465046460460907,0.4281907284193711,0.047,9,3
44,Rarefied,Jaccard (incidence),2,2.8627381843674846,0.48829371094904817,0.024,9,3
44,Rarefied,Gower (sqrt→z),2,5.2656808469137575,0.6370534919552161,0.003,9,3
44,Rarefied,Gower (prop→z),2,2.7180617076592886,0.47534669029864984,0.008,9,3
45,Rarefied,Jaccard (incidence),2,2.3273183374281805,0.4368648896156857,0.019,9,3
45,Rarefied,Gower (sqrt→z),2,6.252394394429532,0.6757596064207801,0.005,9,3
45,Rarefied,Gower (prop→z),2,2.2844657719993804,0.4322983382925862,0.022,9,3
46,Rarefied,Jaccard (incidence),2,1.7962243472415147,0.37450799153600683,0.11,9,3
46,Rarefied,Gower (sqrt→z),2,4.738602780817742,0.6123331194312847,0.007,9,3
46,Rarefied,Gower (prop→z),2,1.707745304021008,0.3627522717854719,0.072,9,3
47,Rarefied,Jaccard (incidence),2,1.7324676473653349,0.36608124480889725,0.059,9,3
47,Rarefied,Gower (sqrt→z),2,4.260982348905986,0.5868327650662847,0.009,9,3
47,Rarefied,Gower (prop→z),2,1.870156292888026,0.3840033420732406,0.029,9,3
48,Rarefied,Jaccard (incidence),2,1.9023261550759616,0.38804561240917373,0.045,9,3
48,Rarefied,Gower (sqrt→z),2,4.923843264750345,0.6213958429307069,0.004,9,3
48,Rarefied,Gower (prop→z),2,1.953294938336213,0.39434254625514287,0.05,9,3
49,Rarefied,Jaccard (incidence),2,2.080674153425937,0.40952717899118224,0.019,9,3
49,Rarefied,Gower (sqrt→z),2,4.982207761756799,0.6241641298322044,0.005,9,3
49,Rarefied,Gower (prop→z),2,1.9393429856043927,0.392631771321928,0.047,9,3
50,Rarefied,Jaccard (incidence),2,2.1775254070346155,0.4205726164232914,0.061,9,3
50,Rarefied,Gower (sqrt→z),2,5.665926029424709,0.6538165696529541,0.003,9,3
50,Rarefied,Gower (prop→z),2,2.722782991964952,0.4757795282099398,0.01,9,3
51,Rarefied,Jaccard (incidence),2,2.9204102957285474,0.49327836245328516,0.021,9,3
51,Rarefied,Gower (sqrt→z),2,5.280270497181975,0.6376929955342655,0.001,9,3
51,Rarefied,Gower (prop→z),2,2.869035607754003,0.4888427672790936,0.012,9,3
52,Rarefied,Jaccard (incidence),2,1.8363107747007916,0.37969246813226115,0.142,9,3
52,Rarefied,Gower (sqrt→z),2,3.6010035813212373,0.5455236521172241,0.008,9,3
52,Rarefied,Gower (prop→z),2,0.9554054597659122,0.24154425367619697,0.462,9,3
53,Rarefied,Jaccard (incidence),2,3.16159719257743,0.5131132551777401,0.018,9,3
53,Rarefied,Gower (sqrt→z),2,4.957365023863444,0.6229907775999641,0.003,9,3
53,Rarefied,Gower (prop→z),2,2.13796311510541,0.416111028282761,0.028,9,3
54,Rarefied,Jaccard (incidence),2,2.256003463902548,0.4292241204551034,0.097,9,3
54,Rarefied,Gower (sqrt→z),2,5.03478330602644,0.6266234090283594,0.013,9,3
54,Rarefied,Gower (prop→z),2,2.2638074243553263,0.4300703353775487,0.029,9,3
55,Rarefied,Jaccard (incidence),2,3.427418998011925,0.5332496604114445,0.008,9,3
55,Rarefied,Gower (sqrt→z),2,6.29995598103263,0.6774178279855803,0.002,9,3
55,Rarefied,Gower (prop→z),2,2.029194837540673,0.4034830431292199,0.017,9,3
56,Rarefied,Jaccard (incidence),2,1.266662756385444,0.29687435560492087,0.292,9,3
56,Rarefied,Gower (sqrt→z),2,4.365201961196122,0.5926791938896411,0.011,9,3
56,Rarefied,Gower (prop→z),2,1.5752514544545106,0.3442983342305329,0.139,9,3
57,Rarefied,Jaccard (incidence),2,1.5956009750216789,0.3472018096641108,0.155,9,3
57,Rarefied,Gower (sqrt→z),2,5.8713432708781195,0.6618324972444621,0.014,9,3
57,Rarefied,Gower (prop→z),2,1.6761733496554962,0.3584497888169573,0.097,9,3
58,Rarefied,Jaccard (incidence),2,1.7919202772412959,0.3739461788944667,0.138,9,3
58,Rarefied,Gower (sqrt→z),2,5.073628520363236,0.62841986196994,0.013,9,3
58,Rarefied,Gower (prop→z),2,1.944040318253047,0.3932088318689043,0.097,9,3
59,Rarefied,Jaccard (incidence),2,2.0123495344554505,0.4014782928888608,0.1,9,3
59,Rarefied,Gower (sqrt→z),2,4.461008604322139,0.5979095911694687,0.021,9,3
59,Rarefied,Gower (prop→z),2,1.9876512685414574,0.3985144833758009,0.051,9,3
60,Rarefied,Jaccard (incidence),2,1.654426790916986,0.355452317811844,0.072,9,3
60,Rarefied,Gower (sqrt→z),2,3.72715274368099,0.5540461002884189,0.004,9,3
60,Rarefied,Gower (prop→z),2,1.2635997402581376,0.29636922254377324,0.261,9,3
61,Rarefied,Jaccard (incidence),2,2.6283964068779557,0.46698850202981956,0.008,9,3
61,Rarefied,Gower (sqrt→z),2,6.06396336579503,0.6690189623535773,0.003,9,3
61,Rarefied,Gower (prop→z),2,2.1249395055880886,0.41462723672564616,0.053,9,3
62,Rarefied,Jaccard (incidence),2,3.013105463349514,0.5010897416841757,0.076,9,3
62,Rarefied,Gower (sqrt→z),2,4.886926816225878,0.6196237051638338,0.005,9,3
62,Rarefied,Gower (prop→z),2,2.3063150711243994,0.43463590838673943,0.059,9,3
63,Rarefied,Jaccard (incidence),2,1.114757534138388,0.27091694343827566,0.407,9,3
63,Rarefied,Gower (sqrt→z),2,3.8713656057993786,0.5634055627213281,0.008,9,3
63,Rarefied,Gower (prop→z),2,1.3891069686408242,0.3164896591870919,0.133,9,3
64,Rarefied,Jaccard (incidence),2,2.19478408709349,0.42249765347254,0.113,9,3
64,Rarefied,Gower (sqrt→z),2,4.7069964397279955,0.6107433001349772,0.02,9,3
64,Rarefied,Gower (prop→z),2,2.0217655461751005,0.4026005450841899,0.085,9,3
65,Rarefied,Jaccard (incidence),2,2.2947644303285792,0.43340255464135397,0.094,9,3
65,Rarefied,Gower (sqrt→z),2,4.606093030961736,0.6055793706719006,0.023,9,3
65,Rarefied,Gower (prop→z),2,2.1783235384908965,0.4206619231686167,0.042,9,3
66,Rarefied,Jaccard (incidence),2,2.9286195669580066,0.4939800123590474,0.032,9,3
66,Rarefied,Gower (sqrt→z),2,5.2538592189033615,0.6365336601417597,0.004,9,3
66,Rarefied,Gower (prop→z),2,2.1124906730437463,0.4132018634639512,0.027,9,3
67,Rarefied,Jaccard (incidence),2,1.7578630413835077,0.36946482614017195,0.142,9,3
67,Rarefied,Gower (sqrt→z),2,5.230374552897594,0.6354965401976975,0.026,9,3
67,Rarefied,Gower (prop→z),2,2.293574951972499,0.43327523890407255,0.037,9,3
68,Rarefied,Jaccard (incidence),2,1.960390968529486,0.3952089625529349,0.106,9,3
68,Rarefied,Gower (sqrt→z),2,5.8701257317725855,0.6617860793952367,0.025,9,3
68,Rarefied,Gower (prop→z),2,2.5772630121488516,0.46210175251460195,0.028,9,3
69,Rarefied,Jaccard (incidence),2,1.9270690701755078,0.3911187447808324,0.137,9,3
69,Rarefied,Gower (sqrt→z),2,5.15455978693935,0.6321076700173426,0.014,9,3
69,Rarefied,Gower (prop→z),2,1.473414330942519,0.329371308342923,0.16,9,3
70,Rarefied,Jaccard (incidence),2,2.3273366549197396,0.43686682589703957,0.014,9,3
70,Rarefied,Gower (sqrt→z),2,5.110221661629388,0.6300964233575234,0.003,9,3
70,Rarefied,Gower (prop→z),2,2.4382177246654115,0.44834867747326607,0.027,9,3
71,Rarefied,Jaccard (incidence),2,1.6036308158952524,0.3483404469268677,0.146,9,3
71,Rarefied,Gower (sqrt→z),2,5.327343626261196,0.6397410585364621,0.012,9,3
71,Rarefied,Gower (prop→z),2,1.7981734435406531,0.3747620765900765,0.062,9,3
72,Rarefied,Jaccard (incidence),2,2.756548371313959,0.4788543747934778,0.003,9,3
72,Rarefied,Gower (sqrt→z),2,6.295768978182173,0.6772725304338767,0.006,9,3
72,Rarefied,Gower (prop→z),2,2.214036615072497,0.42463004741321947,0.011,9,3
73,Rarefied,Jaccard (incidence),2,1.7038757685762425,0.3622280545670039,0.151,9,3
73,Rarefied,Gower (sqrt→z),2,4.679958743015787,0.6093729015499956,0.014,9,3
73,Rarefied,Gower (prop→z),2,2.1465446307040836,0.4170846237100292,0.062,9,3
74,Rarefied,Jaccard (incidence),2,1.044257731598187,0.2582075131956348,0.396,9,3
