variable,PC1_loading
growth_vol_b,-0.14847600035616187
protein_mg_cm2,-0.534080755251018
carb_mg_cm2,-0.563853979957871
zoox_cells_cm2,-0.3880705987225128
afdw_mg_cm2,-0.4734791694272924
