metric,n_each,mean_F,q25_F,q75_F,mean_R2,q25_R2,q75_R2,med_p,prop_sig
Gower (prop→z),2,1.6979787976722778,1.1465340526750707,2.0189461299561127,0.509818788041529,0.4332209711295124,0.5737334833854789,0.2,0
Gower (prop→z),3,1.9318857782774468,1.3872731179447413,2.4048470739029084,0.38179010774963845,0.3162019295621229,0.44494233118731885,0.046,0.5125628140703518
Gower (sqrt→z),2,3.5184287588474685,2.924091232589829,4.153836793217462,0.6911678857623874,0.6609461347627121,0.7346933248150533,0.06666666666666667,0
Gower (sqrt→z),3,4.885776992545419,4.1814914539354735,5.514905915464144,0.6152447293795167,0.5822594539330672,0.6476746343566966,0.006,0.9949748743718593
Jaccard (incidence),2,1.8499290421197978,1.0703691546457614,2.416601227283677,0.5181724549292848,0.41642623310238913,0.6170105500556207,0.26666666666666666,0
Jaccard (incidence),3,2.180031105635047,1.5220594392238838,2.7392780665838172,0.4049837084322132,0.33658450031748777,0.4772850662431032,0.088,0.35678391959798994
