iteration,growth_F,growth_p
1,1,0.7366077947697065
2,1,0.48834591291638274
3,1,0.4744528214374746
4,1,0.9795720419864782
5,1,0.6640337283238813
6,1,0.9624138529867782
7,1,0.5926077769131263
8,1,0.9819536422234718
9,1,0.735137207152287
10,1,0.5388291004037729
11,1,0.9757628141241238
12,1,0.3397840160334481
13,1,0.6744809975021911
14,1,0.7179887336398405
15,1,0.9219549562722313
16,1,0.332610271982125
17,1,0.823718062150603
18,1,0.23094838512858296
19,1,0.9652931238486987
20,1,0.7938886699546265
21,1,0.6441507338670798
22,1,0.21422320264775785
23,1,0.42159401926246265
24,1,0.7104265889865343
25,1,0.8763502657342225
26,1,0.3766797182251441
27,1,0.989298654574398
28,1,0.48841043708389853
29,1,0.6411413931874578
30,1,0.3230733282231372
31,1,0.5494807904854273
32,1,0.30921665478459925
33,1,0.7167600741795559
34,1,0.7981276578761038
35,1,0.8048178665842234
36,1,0.7849028921782444
37,1,0.3120601700445368
38,1,0.940642230551257
39,1,0.43938887037378216
40,1,0.7358260566242769
41,1,0.576471776278919
42,1,0.9870355778571178
43,1,0.25438949798282146
44,1,0.9714380529782527
45,1,0.7807558425789225
46,1,0.7617483268388705
47,1,0.6827670388066877
48,1,0.5719853528399275
49,1,0.9466468797877294
50,1,0.29835348462065464
51,1,0.3717883145795374
52,1,0.948554800625429
53,1,0.44446283116971586
54,1,0.9544878943953689
55,1,0.31872561415550416
56,1,0.7177873925585264
57,1,0.9602770810866001
58,1,0.49275027496397705
59,1,0.390479038566533
60,1,0.8787176027919723
61,1,0.8843546769232136
62,1,0.4788900103981646
63,1,0.7101890142100635
64,1,0.5315308293582379
65,1,0.649890364750329
66,1,0.5193829969758701
67,1,0.4739686788621068
68,1,0.8819714809916683
69,1,0.6608782061536923
70,1,0.9666890720144072
71,1,0.591393960185018
72,1,0.136017022613997
73,1,0.3784318540650987
74,1,0.9607227691739797
75,1,0.23142875095968166
76,1,0.947765732309406
77,1,0.7555075776607645
78,1,0.24295564034261985
79,1,0.9664127549529182
80,1,0.8038194743030511
81,1,0.49966331531703534
82,1,0.9574708928866147
83,1,0.6410566710069809
84,1,0.7513288479007263
85,1,0.47111970250802315
86,1,0.4486550197877772
87,1,0.31692268289014697
88,1,0.3617136281512111
89,1,0.6969743947134602
90,1,0.8997665187187167
91,1,0.9455194019502555
92,1,0.4780500411307962
93,1,0.6682903392863709
94,1,0.6777998111490741
95,1,0.6318593611440642
96,1,0.6243910132347837
97,1,0.7236215605173939
98,1,0.15643028659591846
99,1,0.8202233882549063
100,1,0.2832019802997854
