metric,n_each,F_med,R2_med,p_med,prop_p_lt_0.05
Gower (prop→z),2,1.6979787976722778,0.509818788041529,0.2,0
Gower (prop→z),3,1.9318857782774468,0.38179010774963845,0.046,0.5125628140703518
Gower (sqrt→z),2,3.5184287588474685,0.6911678857623874,0.06666666666666667,0
Gower (sqrt→z),3,4.885776992545419,0.6152447293795167,0.006,0.9949748743718593
Jaccard (incidence),2,1.8499290421197978,0.5181724549292848,0.26666666666666666,0
Jaccard (incidence),3,2.180031105635047,0.4049837084322132,0.088,0.35678391959798994
